n, fi por sucesion, fi por formula, |fi_sucesion - fi_formula|, |fi_sucesion - fi_exacto|,  |fi_formula - fi_exacto|
24,1.618033988670443,1.618033988670443,0,7.945177848966978e-11,7.945177848966978e-11
25,1.618033988780243,1.618033988780243,0,3.034772433352373e-11,3.034772433352373e-11
26,1.618033988738303,1.618033988738303,0,1.159183860011126e-11,1.159183860011126e-11
27,1.618033988754322,1.618033988754322,0,4.427569422205124e-12,4.427569422205124e-12
28,1.618033988748204,1.618033988748204,0,1.691313755713963e-12,1.691313755713963e-12
29,1.618033988750541,1.618033988750541,0,6.459277557269161e-13,6.459277557269161e-13
30,1.618033988749648,1.618033988749648,0,2.466915560717098e-13,2.466915560717098e-13
31,1.618033988749989,1.618033988749989,0,9.414691248821327e-14,9.414691248821327e-14
32,1.618033988749859,1.618033988749859,0,3.597122599785507e-14,3.597122599785507e-14
33,1.618033988749909,1.618033988749909,0,1.376676550535194e-14,1.376676550535194e-14
34,1.61803398874989,1.61803398874989,0,5.329070518200751e-15,5.329070518200751e-15
35,1.618033988749897,1.618033988749897,0,1.998401444325282e-15,1.998401444325282e-15
36,1.618033988749894,1.618033988749894,0,8.881784197001252e-16,8.881784197001252e-16
37,1.618033988749895,1.618033988749895,0,2.220446049250313e-16,2.220446049250313e-16
38,1.618033988749895,1.618033988749895,0,2.220446049250313e-16,2.220446049250313e-16
39,1.618033988749895,1.618033988749895,0,0,0
40,1.618033988749895,1.618033988749895,0,0,0
41,1.618033988749895,1.618033988749895,0,0,0
42,1.618033988749895,1.618033988749895,0,0,0
43,1.618033988749895,1.618033988749895,0,0,0
44,1.618033988749895,1.618033988749895,0,0,0
45,1.618033988749895,1.618033988749895,0,0,0
46,1.618033988749895,1.618033988749895,0,0,0
47,1.618033988749895,1.618033988749895,0,0,0
48,1.618033988749895,1.618033988749895,0,0,0
49,1.618033988749895,1.618033988749895,0,0,0
50,1.618033988749895,1.618033988749895,0,0,0
51,1.618033988749895,1.618033988749895,0,0,0
52,1.618033988749895,1.618033988749895,0,0,0
53,1.618033988749895,1.618033988749895,0,0,0
54,1.618033988749895,1.618033988749895,0,0,0
55,1.618033988749895,1.618033988749895,0,0,0
56,1.618033988749895,1.618033988749895,0,0,0
57,1.618033988749895,1.618033988749895,0,0,0
58,1.618033988749895,1.618033988749895,0,0,0
59,1.618033988749895,1.618033988749895,0,0,0
60,1.618033988749895,1.618033988749895,0,0,0
61,1.618033988749895,1.618033988749895,0,0,0
62,1.618033988749895,1.618033988749895,0,0,0
63,1.618033988749895,1.618033988749895,0,0,0
64,1.618033988749895,1.618033988749895,0,0,0
65,1.618033988749895,1.618033988749895,0,0,0
66,1.618033988749895,1.618033988749895,0,0,0
67,1.618033988749895,1.618033988749895,0,0,0
68,1.618033988749895,1.618033988749895,0,0,0
69,1.618033988749895,1.618033988749895,0,0,0
70,1.618033988749895,1.618033988749895,0,0,0
71,1.618033988749895,1.618033988749895,0,0,0
72,1.618033988749895,1.618033988749895,0,0,0
73,1.618033988749895,1.618033988749895,0,0,0
74,1.618033988749895,1.618033988749894,4.440892098500626e-16,0,4.440892098500626e-16
75,1.618033988749895,1.618033988749895,2.220446049250313e-16,0,2.220446049250313e-16
76,1.618033988749895,1.618033988749895,0,0,0
77,1.618033988749895,1.618033988749895,0,2.220446049250313e-16,2.220446049250313e-16
78,1.618033988749895,1.618033988749894,4.440892098500626e-16,0,4.440892098500626e-16
79,1.618033988749895,1.618033988749895,2.220446049250313e-16,0,2.220446049250313e-16
80,1.618033988749895,1.618033988749895,4.440892098500626e-16,2.220446049250313e-16,2.220446049250313e-16
81,1.618033988749895,1.618033988749895,0,0,0
82,1.618033988749895,1.618033988749894,4.440892098500626e-16,0,4.440892098500626e-16
83,1.618033988749895,1.618033988749895,0,0,0
84,1.618033988749895,1.618033988749895,0,0,0
85,1.618033988749895,1.618033988749895,2.220446049250313e-16,0,2.220446049250313e-16
86,1.618033988749895,1.618033988749895,0,0,0
87,1.618033988749895,1.618033988749895,2.220446049250313e-16,2.220446049250313e-16,0
88,1.618033988749895,1.618033988749895,0,0,0
89,1.618033988749895,1.618033988749895,0,0,0
90,1.618033988749895,1.618033988749895,2.220446049250313e-16,0,2.220446049250313e-16
91,1.618033988749895,1.618033988749895,2.220446049250313e-16,0,2.220446049250313e-16
92,1.618033988749895,1.618033988749895,0,0,0
93,1.618033988749895,1.618033988749895,2.220446049250313e-16,2.220446049250313e-16,0
94,1.618033988749895,1.618033988749894,4.440892098500626e-16,0,4.440892098500626e-16
95,1.618033988749895,1.618033988749895,4.440892098500626e-16,0,4.440892098500626e-16
96,1.618033988749895,1.618033988749894,4.440892098500626e-16,0,4.440892098500626e-16
97,1.618033988749895,1.618033988749895,2.220446049250313e-16,0,2.220446049250313e-16
98,1.618033988749895,1.618033988749894,4.440892098500626e-16,0,4.440892098500626e-16
99,1.618033988749895,1.618033988749895,2.220446049250313e-16,0,2.220446049250313e-16
100,1.618033988749895,1.618033988749895,2.220446049250313e-16,0,2.220446049250313e-16
